T,mut_pct,evasion_type,threshold,fpr,tpr
100,15,evasion_dilute,24.05060999335509,0.0,0.329
100,15,evasion_dilute,23.45345733652187,0.0,0.354
100,15,evasion_dilute,22.856985199745903,0.0,0.37
100,15,evasion_dilute,22.260427655549908,0.0,0.416
100,15,evasion_dilute,21.66354026615147,0.0,0.433
100,15,evasion_dilute,21.0670191780768,0.0,0.459
100,15,evasion_dilute,20.46980030179692,0.0,0.485
100,15,evasion_dilute,19.872895201635192,0.0,0.529
100,15,evasion_dilute,19.276544327964814,0.0,0.555
100,15,evasion_dilute,18.679853713888946,0.0,0.583
100,15,evasion_dilute,18.083019952679617,0.0,0.605
100,15,evasion_dilute,17.48678239993206,0.0,0.649
100,15,evasion_dilute,16.889410289700752,0.0,0.67
100,15,evasion_dilute,16.292429823902065,0.0,0.694
100,15,evasion_dilute,15.69680394257951,0.0,0.719
100,15,evasion_dilute,15.099086932262331,0.0,0.759
100,15,evasion_dilute,14.503070351926786,0.0,0.777
100,15,evasion_dilute,13.906578314837764,0.0,0.795
100,15,evasion_dilute,13.308918507877031,0.0,0.82
100,15,evasion_dilute,12.712198270069774,0.0,0.847
100,15,evasion_dilute,12.115771230367397,0.0,0.859
100,15,evasion_dilute,11.518557371497694,0.0,0.87
100,15,evasion_dilute,10.920818753952375,0.0,0.884
100,15,evasion_dilute,10.325138859262188,0.0,0.906
100,15,evasion_dilute,9.7281583934635,0.0,0.921
100,15,evasion_dilute,9.131943638176958,0.0,0.936
100,15,evasion_dilute,8.534617148551582,0.0,0.95
100,15,evasion_dilute,7.939302159646388,0.0,0.962
100,15,evasion_dilute,7.341988603342887,0.0,0.969
100,15,evasion_dilute,6.7447274948966935,0.0,0.975
100,15,evasion_dilute,6.148130399270234,0.0,0.979
100,15,evasion_dilute,5.55129368009492,0.0,0.985
100,15,evasion_dilute,4.954677021213342,0.0,0.991
100,15,evasion_dilute,4.357535479757878,0.001,0.991
100,15,evasion_dilute,3.1643094285075746,0.017,0.994
100,15,evasion_dilute,2.5228787452803374,0.078,0.997
100,15,evasion_dilute,1.958607314841775,0.243,0.999
100,15,evasion_dilute,1.3767507096020994,0.663,1.0
100,15,evasion_dilute,0.769551078621726,0.966,1.0
100,15,evasion_dilute,0.1804560644581313,1.0,1.0
100,15,evasion_dilute,-inf,1.0,1.0
100,20,evasion_pure,inf,0.0,0.0
100,20,evasion_pure,37.77469071827414,0.0,0.002
100,20,evasion_pure,36.58169870868026,0.0,0.004
100,20,evasion_pure,35.98716277529483,0.0,0.005
100,20,evasion_pure,35.38827669199266,0.0,0.006
100,20,evasion_pure,34.79317412396815,0.0,0.007
100,20,evasion_pure,34.195179321278836,0.0,0.015
100,20,evasion_pure,33.598599459218455,0.0,0.022
100,20,evasion_pure,33.0017406615763,0.0,0.026
100,20,evasion_pure,32.40450377817442,0.0,0.032
100,20,evasion_pure,31.80966830182971,0.0,0.049
100,20,evasion_pure,31.211831628858832,0.0,0.057
100,20,evasion_pure,30.614393726401687,0.0,0.076
100,20,evasion_pure,30.018181392829337,0.0,0.087
100,20,evasion_pure,29.421360790031926,0.0,0.096
100,20,evasion_pure,28.82390874094432,0.0,0.115
100,20,evasion_pure,28.22767829327708,0.0,0.135
100,20,evasion_pure,27.630784142589857,0.0,0.169
100,20,evasion_pure,27.034328028779893,0.0,0.205
100,20,evasion_pure,26.437707135543526,0.0,0.244
100,20,evasion_pure,25.84163750790475,0.0,0.28
100,20,evasion_pure,25.24412514432751,0.0,0.32
100,20,evasion_pure,24.647817481888637,0.0,0.386
100,20,evasion_pure,24.05060999335509,0.0,0.44
100,20,evasion_pure,23.45345733652187,0.0,0.498
100,20,evasion_pure,22.856985199745903,0.0,0.544
100,20,evasion_pure,22.260427655549908,0.0,0.607
100,20,evasion_pure,21.66354026615147,0.0,0.643
100,20,evasion_pure,21.0670191780768,0.0,0.677
100,20,evasion_pure,20.46980030179692,0.0,0.71
100,20,evasion_pure,19.872895201635192,0.0,0.769
100,20,evasion_pure,19.276544327964814,0.0,0.807
100,20,evasion_pure,18.679853713888946,0.0,0.843
100,20,evasion_pure,18.083019952679617,0.0,0.868
100,20,evasion_pure,17.48678239993206,0.0,0.895
100,20,evasion_pure,16.889410289700752,0.0,0.921
100,20,evasion_pure,16.292429823902065,0.0,0.935
100,20,evasion_pure,15.69680394257951,0.0,0.946
100,20,evasion_pure,15.099086932262331,0.0,0.954
100,20,evasion_pure,14.503070351926786,0.0,0.966
